State,year,Kharif,Rabi,Zaid,Avg_Annual_Rainfall
ANDAMAN & NICOBAR ISLANDS,1971,1613.7,913.9,865.6,1131.066667
ANDAMAN & NICOBAR ISLANDS,1972,1844,873,1075.9,1264.3
ANDAMAN & NICOBAR ISLANDS,1973,1587.8,924.6,967.3,1159.9
ANDAMAN & NICOBAR ISLANDS,1974,1378.7,911.3,1015.8,1101.933333
ANDAMAN & NICOBAR ISLANDS,1975,1589.1,1101.4,1101.5,1264
ANDAMAN & NICOBAR ISLANDS,1976,1698.2,864.3,1154.9,1239.133333
ANDAMAN & NICOBAR ISLANDS,1977,1492.9,607,627.6,909.1666667
ANDAMAN & NICOBAR ISLANDS,1978,1775.9,510.5,888.1,1058.166667
ANDAMAN & NICOBAR ISLANDS,1979,1242.5,391.9,497.8,710.7333333
ANDAMAN & NICOBAR ISLANDS,1980,1946.3,902.6,1380.7,1409.866667
ANDAMAN & NICOBAR ISLANDS,1981,1908,800.1,967.3,1225.133333
ANDAMAN & NICOBAR ISLANDS,1982,1575.8,475.4,782,944.4
ANDAMAN & NICOBAR ISLANDS,1983,1892.4,647,677.3,1072.233333
ANDAMAN & NICOBAR ISLANDS,1984,1280.7,1194.4,770.1,1081.733333
ANDAMAN & NICOBAR ISLANDS,1985,1557,716.6,945.6,1073.066667
ANDAMAN & NICOBAR ISLANDS,1986,1473.6,401.9,624.5,833.3333333
ANDAMAN & NICOBAR ISLANDS,1987,1434.5,1128.6,544.6,1035.9
ANDAMAN & NICOBAR ISLANDS,1988,1810.5,974.4,895.5,1226.8
ANDAMAN & NICOBAR ISLANDS,1989,1424.1,619.5,904.9,982.8333333
ANDAMAN & NICOBAR ISLANDS,1990,1108,538.7,827.8,824.8333333
ANDAMAN & NICOBAR ISLANDS,1991,1689.3,494.2,517.9,900.4666667
ANDAMAN & NICOBAR ISLANDS,1992,1436.2,415.6,638.8,830.2
ANDAMAN & NICOBAR ISLANDS,1993,1312.5,569.9,612.1,831.5
ANDAMAN & NICOBAR ISLANDS,1994,2191.5,384.1,1073.5,1216.366667
ANDAMAN & NICOBAR ISLANDS,1995,1933.9,833.5,798.5,1188.633333
ANDAMAN & NICOBAR ISLANDS,1996,1764.3,808.5,983.3,1185.366667
ANDAMAN & NICOBAR ISLANDS,1997,1988.8,469.4,496.4,984.8666667
ANDAMAN & NICOBAR ISLANDS,1998,1561.2,936.3,948.9,1148.8
ANDAMAN & NICOBAR ISLANDS,1999,1358,799.5,837.2,998.2333333
ANDAMAN & NICOBAR ISLANDS,2000,1244.2,706.7,1169.2,1040.033333
ANDAMAN & NICOBAR ISLANDS,2001,1515.4,686.7,1249.4,1150.5
ANDAMAN & NICOBAR ISLANDS,2002,1525.6,616.2,836.7,992.8333333
ANDAMAN & NICOBAR ISLANDS,2003,1406.1,484.7,624.9,838.5666667
ANDAMAN & NICOBAR ISLANDS,2004,1392.2,484.6,1007.1,961.3
ANDAMAN & NICOBAR ISLANDS,2005,1700.4,877.5,829.2,1135.7
ANDAMAN & NICOBAR ISLANDS,2006,1314.9,555.9,900,923.6
ANDAMAN & NICOBAR ISLANDS,2007,1793.1,525.4,807.9,1042.133333
ANDAMAN & NICOBAR ISLANDS,2008,1783.1,714.4,1335.1,1277.533333
ANDAMAN & NICOBAR ISLANDS,2009,1627.1,417.7,1127.2,1057.333333
ANDAMAN & NICOBAR ISLANDS,2010,1797.8,1027.1,781.1,1202
ANDAMAN & NICOBAR ISLANDS,2011,2165,952.3,1093.9,1403.733333
ANDAMAN & NICOBAR ISLANDS,2012,2014,863.1,1078.7,1318.6
ANDAMAN & NICOBAR ISLANDS,2013,2152.1,1007.1,1375.6,1511.6
ANDAMAN & NICOBAR ISLANDS,2014,1618.7,754.7,665.7,1013.033333
ANDAMAN & NICOBAR ISLANDS,2015,1678.6,752.8,819.6,1083.666667
ARUNACHAL PRADESH,1916,,,1936.7,1936.7
ARUNACHAL PRADESH,1917,2772.8,448.7,,1610.75
ARUNACHAL PRADESH,1918,4121.3,168.1,2806.8,2365.4
ARUNACHAL PRADESH,1919,2888,1099.9,1679.6,1889.166667
ARUNACHAL PRADESH,1920,2649.2,313.6,1984.5,1649.1
ARUNACHAL PRADESH,1921,4155.5,399.6,2369.5,2308.2
ARUNACHAL PRADESH,1922,2723.9,642.9,1929.7,1765.5
ARUNACHAL PRADESH,1923,2555.7,231.5,1128.9,1305.366667
ARUNACHAL PRADESH,1924,3232.3,466,1917.2,1871.833333
ARUNACHAL PRADESH,1925,3129.3,357,1565.1,1683.8
ARUNACHAL PRADESH,1926,2386.4,458.3,1352.1,1398.933333
ARUNACHAL PRADESH,1927,3805.3,811.8,1681.5,2099.533333
ARUNACHAL PRADESH,1928,3849.2,750,1841.8,2147
ARUNACHAL PRADESH,1929,2521.8,566.1,2085.4,1724.433333
ARUNACHAL PRADESH,1930,2789.5,627.8,1637.7,1685
ARUNACHAL PRADESH,1931,3367.7,492.3,2161.4,2007.133333
ARUNACHAL PRADESH,1932,3177.1,624,2115,1972.033333
ARUNACHAL PRADESH,1933,2586.5,382,1586.9,1518.466667
ARUNACHAL PRADESH,1934,2984,413.8,2202.5,1866.766667
ARUNACHAL PRADESH,1935,3237.5,255.4,1828,1773.633333
ARUNACHAL PRADESH,1936,3218.6,748.1,1655.3,1874
ARUNACHAL PRADESH,1937,2224.6,399.3,1207.6,1277.166667
ARUNACHAL PRADESH,1938,4534.5,552.2,2553.6,2546.766667
ARUNACHAL PRADESH,1939,2757.6,325.6,1948,1677.066667
ARUNACHAL PRADESH,1940,2710.7,392.5,1507.2,1536.8
ARUNACHAL PRADESH,1941,2870.3,294.3,1573.8,1579.466667
ARUNACHAL PRADESH,1942,2436.6,222.6,2351.7,1670.3
ARUNACHAL PRADESH,1943,2629.2,432.1,1977.7,1679.666667
ARUNACHAL PRADESH,1944,2383,548.5,1908.8,1613.433333
ARUNACHAL PRADESH,1945,2480.1,368.9,1220.4,1356.466667
